form,laenge,dichte,breite,sicht,text,texthoehe,inhaltsspalte,tabelle,karten,bodyUeberlauf,innererUeberlauf
bestand,kurz,kompakt,767,743,721,19.5625,,0,1,0,0
bestand,kurz,kompakt,768,720,204,19.5625,226,1,0,0,0
bestand,kurz,kompakt,991,943,427,19.5625,449,1,0,0,0
bestand,kurz,kompakt,992,648,194.828125,19.5625,216.828125,1,0,0,63
bestand,kurz,kompakt,1024,680,194.828125,19.5625,216.828125,1,0,0,31
bestand,kurz,kompakt,1280,936,420,19.5625,442,1,0,0,0
bestand,kurz,kompakt,1366,1022,506,19.5625,528,1,0,0,0
bestand,kurz,komfortabel,767,743,707,21.75,,0,1,0,0
bestand,kurz,komfortabel,768,720,216.46875,21.75,252.46875,1,0,0,26
bestand,kurz,komfortabel,991,943,413,21.75,449,1,0,0,0
bestand,kurz,komfortabel,992,648,216.46875,21.75,252.46875,1,0,0,98
bestand,kurz,komfortabel,1024,680,216.46875,21.75,252.46875,1,0,0,66
bestand,kurz,komfortabel,1280,936,406,21.75,442,1,0,0,0
bestand,kurz,komfortabel,1366,1022,492,21.75,528,1,0,0,0
bestand,kurz,handschuh,767,743,691,21.75,,0,1,0,0
bestand,kurz,handschuh,768,720,216.46875,21.75,268.46875,1,0,0,70
bestand,kurz,handschuh,991,943,369,21.75,421,1,0,0,0
bestand,kurz,handschuh,992,648,216.46875,21.75,268.46875,1,0,0,142
bestand,kurz,handschuh,1024,680,216.46875,21.75,268.46875,1,0,0,110
bestand,kurz,handschuh,1280,936,362,21.75,414,1,0,0,0
bestand,kurz,handschuh,1366,1022,448,21.75,500,1,0,0,0
bestand,lang,kompakt,767,743,721,39.125,,0,2,0,0
bestand,lang,kompakt,768,720,1335.171875,19.5625,1357.171875,1,0,0,1131
bestand,lang,kompakt,991,943,1335.171875,19.5625,1357.171875,1,0,0,908
bestand,lang,kompakt,992,648,1335.171875,19.5625,1357.171875,1,0,0,1203
bestand,lang,kompakt,1024,680,1335.171875,19.5625,1357.171875,1,0,0,1171
bestand,lang,kompakt,1280,936,1335.171875,19.5625,1357.171875,1,0,0,915
bestand,lang,kompakt,1366,1022,1335.171875,19.5625,1357.171875,1,0,0,829
bestand,lang,komfortabel,767,743,707,65.25,,0,2,0,0
bestand,lang,komfortabel,768,720,1483.515625,21.75,1519.515625,1,0,0,1294
bestand,lang,komfortabel,991,943,1483.515625,21.75,1519.515625,1,0,0,1071
bestand,lang,komfortabel,992,648,1483.515625,21.75,1519.515625,1,0,0,1366
bestand,lang,komfortabel,1024,680,1483.515625,21.75,1519.515625,1,0,0,1334
bestand,lang,komfortabel,1280,936,1483.515625,21.75,1519.515625,1,0,0,1078
bestand,lang,komfortabel,1366,1022,1483.515625,21.75,1519.515625,1,0,0,992
bestand,lang,handschuh,767,743,691,65.25,,0,2,0,0
bestand,lang,handschuh,768,720,1483.515625,21.75,1535.515625,1,0,0,1338
bestand,lang,handschuh,991,943,1483.515625,21.75,1535.515625,1,0,0,1115
bestand,lang,handschuh,992,648,1483.515625,21.75,1535.515625,1,0,0,1410
bestand,lang,handschuh,1024,680,1483.515625,21.75,1535.515625,1,0,0,1378
bestand,lang,handschuh,1280,936,1483.515625,21.75,1535.515625,1,0,0,1122
bestand,lang,handschuh,1366,1022,1483.515625,21.75,1535.515625,1,0,0,1036
karte,kurz,kompakt,767,743,721,19.5625,,0,1,0,0
karte,kurz,kompakt,768,720,698,19.5625,,0,1,0,0
karte,kurz,kompakt,991,943,921,19.5625,,0,1,0,0
karte,kurz,kompakt,992,648,626,19.5625,,0,1,0,0
karte,kurz,kompakt,1024,680,658,19.5625,,0,1,0,0
karte,kurz,kompakt,1280,936,914,19.5625,,0,1,0,0
karte,kurz,kompakt,1366,1022,1000,19.5625,,0,1,0,0
karte,kurz,komfortabel,767,743,707,21.75,,0,1,0,0
karte,kurz,komfortabel,768,720,684,21.75,,0,1,0,0
karte,kurz,komfortabel,991,943,907,21.75,,0,1,0,0
karte,kurz,komfortabel,992,648,612,21.75,,0,1,0,0
karte,kurz,komfortabel,1024,680,644,21.75,,0,1,0,0
karte,kurz,komfortabel,1280,936,900,21.75,,0,1,0,0
karte,kurz,komfortabel,1366,1022,986,21.75,,0,1,0,0
karte,kurz,handschuh,767,743,691,21.75,,0,1,0,0
karte,kurz,handschuh,768,720,668,21.75,,0,1,0,0
karte,kurz,handschuh,991,943,891,21.75,,0,1,0,0
karte,kurz,handschuh,992,648,596,21.75,,0,1,0,0
karte,kurz,handschuh,1024,680,628,21.75,,0,1,0,0
karte,kurz,handschuh,1280,936,884,21.75,,0,1,0,0
karte,kurz,handschuh,1366,1022,970,21.75,,0,1,0,0
karte,lang,kompakt,767,743,721,39.125,,0,2,0,0
karte,lang,kompakt,768,720,698,39.125,,0,2,0,0
karte,lang,kompakt,991,943,921,39.125,,0,2,0,0
karte,lang,kompakt,992,648,626,58.6875,,0,2,0,0
